original_index,y_orig,y_target,n_particles,n_nodes,distance ,n_detections,calls,detections_per_node                       ,distribution_scheme,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down
7270          ,1     ,3       ,5          ,10     ,2.4076076,145         ,25017,"[15, 15, 15, 14, 14, 14, 15, 14, 14, 15]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
860           ,6     ,7       ,5          ,10     ,3.7782803,83          ,25029,"[8, 8, 9, 9, 8, 8, 8, 8, 8, 9]"          ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6265          ,4     ,2       ,5          ,10     ,3.2908084,139         ,25046,"[14, 13, 14, 14, 14, 15, 14, 14, 13, 14]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
4426          ,9     ,7       ,5          ,10     ,1.8306835,110         ,25001,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8322          ,9     ,5       ,5          ,10     ,2.4176242,167         ,25065,"[17, 17, 17, 17, 17, 16, 16, 17, 16, 17]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
769           ,6     ,7       ,5          ,10     ,3.2082303,5           ,25103,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]"          ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6949          ,2     ,1       ,5          ,10     ,2.774282 ,155         ,25055,"[16, 15, 15, 15, 16, 15, 16, 15, 16, 16]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
5311          ,9     ,4       ,5          ,10     ,1.5948184,200         ,25042,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1184          ,2     ,9       ,5          ,10     ,2.7266335,41          ,25083,"[5, 4, 4, 4, 4, 4, 4, 4, 4, 4]"          ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
6396          ,4     ,8       ,5          ,10     ,2.6201591,104         ,25097,"[11, 9, 10, 11, 10, 10, 11, 11, 10, 11]" ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
8666          ,1     ,9       ,5          ,10     ,2.6527565,130         ,25014,"[13, 13, 12, 13, 13, 12, 14, 13, 14, 13]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
2047          ,6     ,2       ,5          ,10     ,2.7902315,55          ,25004,"[5, 6, 5, 6, 5, 5, 6, 6, 6, 5]"          ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1899          ,8     ,6       ,5          ,10     ,3.605195 ,112         ,25000,"[11, 11, 12, 12, 11, 11, 11, 11, 11, 11]",round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
1267          ,8     ,2       ,5          ,10     ,3.0455158,70          ,25006,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"          ,round_robin        ,0.25       ,0.05          ,mnist  ,1.05                     ,0.99
